Species,Authority,Common Name
Pseudofumaria lutea,(L.) Borkh.,Yellow Corydalis
Pseudofumaria alba,(Mill.) Lidén,Pale Corydalis
Ceratocapnos claviculata,(L.) Lidén,Climbing Corydalis
Fumaria capreolata,L.,White Ramping-fumitory
Fumaria capreolata subsp. capreolata,,
Fumaria capreolata subsp. babingtonii,(Pugsley) P.D. Sell,
Fumaria occidentalis,Pugsley,Western Ramping-fumitory
Fumaria bastardii,Boreau,Tall Ramping-fumitory
Fumaria bastardii x muralis,,
Fumaria reuteri,Boiss.,Martin's Ramping-fumitory
Fumaria muralis,Sond. ex W.D.J. Koch,Common Ramping-fumitory
Fumaria muralis subsp. muralis,,
Fumaria muralis subsp. boraei,(Jord.) Pugsley,
Fumaria muralis subsp. neglecta,Pugsley,
Fumaria muralis x officinalis = F. x painteri,Pugsley,
Fumaria purpurea,Pugsley,Purple Ramping-fumitory
Fumaria officinalis,L.,Common Fumitory
Fumaria officinalis subsp. officinalis,,
Fumaria officinalis subsp. wirtgenii,(W.D.J. Koch) Arcang.,
Fumaria officinalis x densiflora,,
Fumaria officinalis x parviflora,,
Fumaria densiflora,DC.,Dense-flowered Fumitory
Fumaria parviflora,Lam.,Fine-leaved Fumitory
Fumaria vaillantii,Loisel.,Few-flowered Fumitory
Fumaria agraria,Lag.,
Lamprocapnos spectabilis,(L.) Fukuhara,Asian Bleeding-heart
Platycapnos spicata,(L.) Bernh.,
Platanus occidentalis,L.,American Plane
Platanus occidentalis x orientalis = P. x hispanica,Mill. ex Münchh.,London Plane
Platanus orientalis,L.,Oriental Plane
Ulmus glabra,Huds.,Wych Elm
Ulmus glabra subsp. glabra,,
Ulmus glabra subsp. montana,Hyl.,
Ulmus glabra x procera,,
Ulmus glabra x minor = U. x vegeta,(Loudon) Ley,Huntingdon Elm
Ulmus glabra x minor x plotii = U. x hollandica,Mill.,Dutch Elm
Ulmus glabra x plotii = U. ? x elegantissima,Horw.,
Ulmus procera,Salisb.,English Elm
Ulmus procera x minor,,
Ulmus procera x plotii,,
Ulmus minor,Mill.,
Ulmus minor subsp. minor,,Small-leaved Elm
Ulmus minor subsp. angustifolia,(Weston) Stace,Cornish Elm
Ulmus minor subsp. sarniensis,(C.K. Schneid.) Stace,Jersey Elm
Ulmus minor x plotii = U. x viminalis,Lodd. ex Loudon,
Ulmus plotii,Druce,Plot's Elm
Ulmus minor agg.,,
Ulmus laevis,Pall.,European White-elm
Ulmus thomasii,Sarg.,Rock Elm
Zelkova carpinifolia,(Pall.) K. Koch,Caucasian Elm
Zelkova serrata,(Thunb.) Makino,Japanese Elm
Cannabis sativa,L.,Hemp 
Humulus lupulus,L.,Hop 
Humulus japonicus,Siebold & Zucc.,Japanese Hop
Morus nigra,L.,Black Mulberry
Morus alba,L.,White Mulberry
Ficus carica,L.,Fig 
Ficus pumila,L.,Creeping Fig
Urtica dioica,L.,Common Nettle
Urtica dioica subsp. dioica,,
Urtica dioica subsp. galeopsifolia,(Wierzb. ex Opiz) Chrtek,
Urtica urens,L.,Small Nettle
Urtica flabellata,Kunth,
Urtica incisa,Poir.,Scrub Nettle
Urtica massaica,Mildbr.,
Urtica pilulifera,L.,Roman Nettle
Parietaria judaica,L.,Pellitory-of-the-wall 
Parietaria officinalis,L.,Eastern Pellitory-of-the-wall
Soleirolia soleirolii,(Req.) Dandy,Mind-your-own-business 
Girardinia diversifolia,(Link) Friis,Nilghiri Nettle
Pilea microphylla,(L.) Liebm.,Artillery-plant 
Juglans regia,L.,Walnut 
Juglans nigra,L.,Black Walnut
Pterocarya fraxinifolia,(Poir.) Spach,Caucasian Wingnut
Carya cordiformis,(Wangenh.) K. Koch,Bitternut Hickory
Carya ovata,(Poir.) Spach,Shagbark Hickory
Myrica gale,L.,Bog-myrtle 
Myrica pensylvanica,Loisel. ex Duhamel,Bayberry 
Fagus sylvatica,L.,Beech 
Nothofagus obliqua,(Mirb.) Blume,Roble 
Nothofagus obliqua x alpina = N. x dodecaphleps,Mike L. Grant & E.J. Clement,
Nothofagus alpina,(Poepp. & Endl.) Oerst.,Rauli 
Nothofagus antarctica,(G. Forst.) Oerst.,Antarctic Beech
Nothofagus dombeyi,(Mirb.) Blume,Dombey's Beech
Castanea sativa,Mill.,Sweet Chestnut
Castanea crenata,Siebold & Zucc.,Japanese Chestnut
Quercus cerris,L.,Turkey Oak
Quercus cerris x suber = Q. x crenata,Lam.,Lucombe Oak
Quercus ilex,L.,Evergreen Oak
Quercus canariensis,Willd.,Algerian Oak
Quercus petraea,(Matt.) Liebl.,Sessile Oak
Quercus petraea x robur = Q. x rosacea,Bechst.,
Quercus robur,L.,Pedunculate Oak
Quercus rubra,L.,Red Oak
Quercus alba,L.,White Oak
Quercus castaneifolia,C.A. Mey.,Chestnut-leaved Oak
Quercus coccinea,Münchh.,Scarlet Oak
Quercus imbricaria,Michx.,Shingle Oak
Quercus mas,Thore,
Quercus palustris,Münchh.,Pin Oak
Quercus phellos,L.,Willow Oak
Quercus phillyreoides,A. Gray,
Quercus pubescens,Willd.,Downy Oak
Quercus pyrenaica,Willd.,Pyrenean Oak
Quercus suber,L.,Cork Oak
Quercus velutina,Lam.,Black Oak
Betula pendula,Roth,Silver Birch
Betula pendula x pubescens = B. x aurata,Borkh.,
Betula pubescens,Ehrh.,Downy Birch
Betula pubescens subsp. pubescens,,
Betula pubescens subsp. tortuosa,(Ledeb.) Nyman,
Betula pubescens x nana = B. x intermedia,Thomas ex Gaudin,
Betula nana,L.,Dwarf Birch
Betula papyrifera,Marshall,Paper Birch
Alnus glutinosa,(L.) Gaertn.,Alder 
Alnus glutinosa x incana = A. x hybrida,A. Braun ex Rchb.,
Alnus incana,(L.) Moench,Grey Alder
Alnus cordata,(Loisel.) Duby,Italian Alder
Alnus maritima,(Marshall) Nutt.,Seaside Alder
Alnus orientalis,Decne.,Oriental Alder
Alnus rubra,Bong.,Red Alder
Alnus viridis,(Chaix) DC.,Green Alder
Carpinus betulus,L.,Hornbeam 
Corylus avellana,L.,Hazel 
Corylus avellana x maxima,,
Corylus maxima,Mill.,Filbert 
Corylus colurna,L.,Turkish Hazel
Phytolacca acinosa,Roxb.,Indian Pokeweed
Phytolacca icosandra,L.,Button Pokeweed
Phytolacca octandra,L.,Inkweed 
Phytolacca polyandra,Batalin,Chinese Pokeweed
Mirabilis jalapa,L.,Marvel-of-Peru 
Aptenia cordifolia,(L. f.) Schwantes,Heart-leaf Iceplant
Ruschia caroli,(L. Bolus) Schwantes,Shrubby Dewplant
Lampranthus falciformis,(Haw.) N.E. Br.,Sickle-leaved Dewplant
Lampranthus roseus,(Willd.) Schwantes,Rosy Dewplant
Lampranthus conspicuus,(Haw.) N.E. Br.,
Lampranthus scaber,(L.) N.E. Br.,
Lampranthus spectabilis,(Haw.) N.E. Br.,
Oscularia deltoides,(L.) Schwantes,Deltoid-leaved Dewplant
Disphyma crassifolium,(L.) L. Bolus,Purple Dewplant
Drosanthemum floribundum,(Haw.) Schwantes,Pale Dewplant
Drosanthemum attenuatum,(Haw.) Schwantes,
Erepsia heteropetala,(Haw.) Schwantes,Lesser Sea-fig
Carpobrotus acinaciformis,(L.) L. Bolus,Sally-my-handsome 
Carpobrotus edulis,(L.) N.E. Br.,Hottentot-fig 
Carpobrotus glaucescens,(Haw.) Schwantes,Angular Sea-fig
Cleretum bellidiforme,(Burm. f.) G.D. Rowley,Livingstone-daisy 
Delosperma burtoniae,L. Bolus,
Galenia africana,L.,
Mesembryanthemum crystallinum,L.,Common Iceplant
Mesembryanthemum nodiflorum,L.,
Tetragonia crystallina,L'Hér.,
Tetragonia tetragonioides,(Pall.) Kuntze,New Zealand Spinach
Chenopodium ambrosioides,L.,Mexican-tea 
Chenopodium pumilio,R. Br.,Clammy Goosefoot
Chenopodium capitatum,(L.) Ambrosi,Strawberry-blite 
Chenopodium bonus-henricus,L.,Good-King-Henry 
Chenopodium glaucum,L.,Oak-leaved Goosefoot
Chenopodium rubrum,L.,Red Goosefoot
Chenopodium chenopodioides,(L.) Aellen,Saltmarsh Goosefoot
Chenopodium polyspermum,L.,Many-seeded Goosefoot
Chenopodium vulvaria,L.,Stinking Goosefoot
Chenopodium hybridum,L.,Maple-leaved Goosefoot
Chenopodium urbicum,L.,Upright Goosefoot
Chenopodium murale,L.,Nettle-leaved Goosefoot
Chenopodium ficifolium,Sm.,Fig-leaved Goosefoot
Chenopodium opulifolium,Schrad. ex W.D.J. Koch & Ziz,Grey Goosefoot
Chenopodium album,L.,Fat-hen 
Chenopodium acuminatum,Willd.,
Chenopodium antarcticum,(Hook. f.) Hook. f.,
Chenopodium aristatum,L.,
Chenopodium atriplicinum,(F. Muell.) F. Muell.,Starry Goosefoot
Chenopodium auricomiforme,Murr & Thell.,
Chenopodium berlandieri,Moq.,Pitseed Goosefoot
Chenopodium borbasioides,A. Ludw. ex Asch. & Graebn.,
Chenopodium botrys,L.,Sticky Goosefoot
Chenopodium bushianum,Aellen,Soyabean Goosefoot
Chenopodium carinatum,R. Br.,Keeled Goosefoot
Chenopodium carinatum x cristatum = C. x bontei,Aellen,
Chenopodium cristatum,(F. Muell.) F. Muell.,Crested Goosefoot
Chenopodium desiccatum,A. Nelson,Slimleaf Goosefoot
Chenopodium detestans,Kirk,Fish-guts 
Chenopodium foliosum,(Moench) Asch.,Strawberry Goosefoot
Chenopodium giganteum,D. Don,Tree Spinach
Chenopodium graveolens,Lag. & Rodr.,
Chenopodium hircinum,Schrad.,Foetid Goosefoot
Chenopodium macrospermum,Hook. f.,
Chenopodium missouriense,Aellen,Soya-bean Goosefoot
Chenopodium mucronatum,Thunb.,
Chenopodium multifidum,L.,Scented Goosefoot
Chenopodium nitrariaceum,(F. Muell.) F. Muell. ex Benth.,Nitre Goosefoot
Chenopodium pallidicaule,Aellen,
Chenopodium phillipsianum,Aellen,
Chenopodium probstii,Aellen,Probst's Goosefoot
Chenopodium procerum,Hochst. ex Moq.,
Chenopodium purpurascens,Jacq.,Purple Goosefoot
Chenopodium quinoa,Willd.,Quinoa 
Chenopodium rostratum,Aellen ex Blom,
Chenopodium rugosum,Aellen,
Chenopodium schraderianum,Schult.,
Chenopodium solitarium,Murr,
Chenopodium strictum,Roth,Striped Goosefoot
Chenopodium subpalmatum,Murr ex Druce,
Chenopodium suecicum,Murr,Swedish Goosefoot
Bassia scoparia,(L.) Voss,Summer-cypress 
Bassia hyssopifolia,(Pall.) Kuntze,
Bassia muricata,(L.) Asch.,
Bassia prostrata,(L.) A.J. Scott,
Atriplex hortensis,L.,Garden Orache
Atriplex prostrata,Boucher ex DC.,Spear-leaved Orache
Atriplex prostrata x glabriuscula,,
Atriplex prostrata x longipes = A. x gustafssoniana,Tascher.,Kattegat Orache
Atriplex prostrata x littoralis = A. x hulmeana,Tascher.,
Atriplex glabriuscula,Edmondston,Babington's Orache
Atriplex glabriuscula x longipes = A. x taschereaui,Stace,Taschereau's Orache
Atriplex glabriuscula x praecox,,
Atriplex longipes,Drejer,Long-stalked Orache
Atriplex praecox,Hülph.,Early Orache
Atriplex littoralis,L.,Grass-leaved Orache
Atriplex littoralis x patula,,
Atriplex patula,L.,Common Orache
Atriplex laciniata,L.,Frosted Orache
Atriplex halimus,L.,Shrubby Orache
Atriplex portulacoides,L.,Sea-purslane 
Atriplex pedunculata,L.,Pedunculate Sea-purslane
Atriplex australasica,Moq.,
Atriplex calotheca,(Rafn) Fr.,
Atriplex eardleyae,Aellen,Bell Saltbush
Atriplex glauca,L.,
Atriplex limbata,Benth.,Spreading Saltbush
Atriplex micrantha,Ledeb.,
Atriplex muelleri,Benth.,Annual Saltbush
Atriplex oblongifolia,Waldst. & Kit.,
Atriplex platensis,Speg.,
Atriplex rosea,L.,Redscale 
Atriplex sagittata,Borkh.,Purple Orache
Atriplex semibaccata,R. Br.,Berry Saltbush
Atriplex semilunaris,Aellen,
Atriplex spongiosa,F. Muell.,Pop Saltbush
Atriplex stylosa,Viv.,
Atriplex suberecta,Verd.,Australian Orache
Atriplex tatarica,L.,
Beta vulgaris,L.,Beet 
Beta vulgaris subsp. maritima,(L.) Arcang.,Sea Beet
Beta vulgaris subsp. cicla,(L.) Arcang.,Foliage Beet
Beta vulgaris subsp. vulgaris,,Root Beet
Beta trigyna,Waldst. & Kit.,Caucasian Beet
Sarcocornia perennis,(Mill.) A.J. Scott,Perennial Glasswort
Salicornia pusilla,Woods,One-flowered Glasswort
Salicornia pusilla x ramosissima,,
Salicornia ramosissima,Woods,Purple Glasswort
Salicornia europaea,L.,Common Glasswort
Salicornia obscura,P.W. Ball & Tutin,Glaucous Glasswort
Salicornia nitens,P.W. Ball & Tutin,Shiny Glasswort
Salicornia fragilis,P.W. Ball & Tutin,Yellow Glasswort
Salicornia dolichostachya,Moss,Long-spiked Glasswort
Salicornia europaea agg.,,
Salicornia procumbens agg.,,
Suaeda vera,Forssk. ex J.F. Gmel.,Shrubby Sea-blite
Suaeda maritima,(L.) Dumort.,Annual Sea-blite
Suaeda altissima,(L.) Pall.,
Salsola kali,L.,
Salsola kali subsp. kali,,Prickly Saltwort
Salsola kali subsp. iberica,(Sennen & Pau) Rilke,Spineless Saltwort
Salsola kali subsp. tragus,(L.) Nyman,
Salsola collina,Pall.,
Salsola soda,L.,
Axyris amaranthoides,L.,Russian Pigweed
Corispermum hyssopifolium,L.,Hyssop-leaved Bugseed
Corispermum leptopterum,(Asch.) Iljin,Bugseed 
Cycloloma atriplicifolium,(Spreng.) Coult.,Winged Pigweed
Dysphania glomulifera,(Nees) Paul G. Wilson,Australian Pigweed
Dysphania littoralis,R. Br.,Red Crumbweed
Einadia polygonoides,(Murr) Paul G. Wilson,Knotted Goosefoot
Einadia trigonos,(Schult.) Paul G. Wilson,
Einadia trigonos subsp. trigonos,,Fishweed 
Einadia trigonos subsp. stellulata,(Benth.) Paul G. Wilson,
Monolepis nuttalliana,(Schult.) Greene,Povertyweed 
Polycnemum arvense,L.,
Sclerolaena anisacanthoides,(F. Muell.) Domin,
Sclerolaena birchii,(F. Muell.) Domin,Galvanized Bur
Sclerolaena divaricata,(R. Br.) Domin,Tangled Bassia
Sclerolaena muricata,(Moq.) Domin,Five-spined Bassia
Spinacia oleracea,L.,Spinach 
Amaranthus retroflexus,L.,Common Amaranth
Amaranthus retroflexus x hybridus = A. x ozanonii,(Thell.) C. Schust. & M. Goldschm.,
Amaranthus hybridus,L.,Green Amaranth
Amaranthus cruentus,L.,Purple Amaranth
Amaranthus bouchonii,Thell.,Indehiscent Amaranth
Amaranthus deflexus,L.,Perennial Pigweed
Amaranthus albus,L.,White Pigweed
Amaranthus acutilobus,Uline & W.L. Bray,
Amaranthus arenicola,I.M. Johnst.,
Amaranthus blitum,L.,Guernsey Pigweed
Amaranthus blitoides,S. Watson,Prostrate Pigweed
Amaranthus capensis,Thell.,Cape Pigweed
Amaranthus capensis subsp. uncinatus,(Thell.) Brenan,
Amaranthus caudatus,L.,Love-lies-bleeding 
Amaranthus clementii,Domin,
Amaranthus crassipes,Schltdl.,
Amaranthus crispus,(Lesp. & Thévenau) N. Terracc.,Crisp-leaved Amaranth
Amaranthus graecizans,L.,Short-tepalled Pigweed
Amaranthus graecizans subsp. graecizans,,
Amaranthus graecizans subsp. sylvestris,(Vill.) Brenan,
Amaranthus hypochondriacus,L.,Prince's-feather 
Amaranthus macrocarpus,Benth.,Desert Amaranth
Amaranthus mitchellii,Benth.,Mitchell's Amaranth
Amaranthus muricatus,(Moq.) Hieron.,Rough-fruited Amaranth
Amaranthus palmeri,S. Watson,Dioecious Amaranth
Amaranthus powellii,S. Watson,Powell's Amaranth
Amaranthus quitensis,Kunth,Mucronate Amaranth
Amaranthus rudis,J.D. Sauer,Western Water-hemp
Amaranthus schinzianus,Thell.,
Amaranthus scleropoides,Uline & W.L. Bray,
Amaranthus spinosus,L.,Spiny Amaranth
Amaranthus standleyanus,Parodi ex Covas,Indehiscent Pigweed
Amaranthus thunbergii,Moq.,Thunberg's Pigweed
Amaranthus tricolor,L.,Tampala 
Amaranthus tuberculatus,(Moq.) J.D Sauer,Rough-fruited Water-hemp
Amaranthus viridis,L.,
Amaranthus watsonii,Standl.,Watson's Amaranth
Achyranthes aspera,L.,Chaff-flower 
Alternanthera caracasana,Kunth,
Alternanthera ficoidea,(L.) Roem. & Schult.,Parrot-leaf 
Alternanthera nodiflora,R. Br.,Joyweed 
Alternanthera paronychioides,A. St.-Hil.,
Alternanthera pungens,Kunth,
Alternanthera sessilis,(L.) R. Br. ex DC.,Rabbit-meat 
Celosia cristata,L.,
Celosia trigyna,L.,
Digera muricata,(L.) H. Mart.,
Portulaca oleracea,L.,Common Purslane
Portulaca grandiflora,"hort., non Hook.",Rose-moss 
Claytonia perfoliata,Donn ex Willd.,Springbeauty 
Claytonia sibirica,L.,Pink Purslane
Claytonia virginica,L.,Virginia Springbeauty
Montia fontana,L.,Blinks 
Montia fontana subsp. fontana,,
Montia fontana subsp. variabilis,Walters,
Montia fontana subsp. amporitana,Sennen,
Montia fontana subsp. chondrosperma,(Fenzl) Walters,
Montia parvifolia,(Moç.) Greene,Small-leaved Blinks
Calandrinia ciliata,(Ruíz & Pav.) DC.,Red-maids 
Calandrinia umbellata,(Ruíz & Pav.) DC.,Rock Purslane
Anredera cordifolia,(Ten.) Steenis,Madeira-vine 
Arenaria serpyllifolia,L.,
Arenaria serpyllifolia subsp. serpyllifolia,,Thyme-leaved Sandwort
Arenaria serpyllifolia subsp. leptoclados,(Rchb.) Nyman,Slender Sandwort
Arenaria norvegica,Gunnerus,
Arenaria norvegica subsp. norvegica,,Arctic Sandwort
Arenaria norvegica subsp. anglica,G. Halliday,English Sandwort
Arenaria ciliata,L.,Fringed Sandwort
Arenaria balearica,L.,Mossy Sandwort
Arenaria montana,L.,Mountain Sandwort
Moehringia trinervia,(L.) Clairv.,Three-nerved Sandwort
Honckenya peploides,(L.) Ehrh.,Sea Sandwort
Minuartia recurva,(All.) Schinz & Thell.,Recurved Sandwort
Minuartia verna,(L.) Hiern,Spring Sandwort
Minuartia rubella,(Wahlenb.) Hiern,Mountain Sandwort
Minuartia stricta,(Sw.) Hiern,Teesdale Sandwort
Minuartia hybrida,(Vill.) Schischk.,Fine-leaved Sandwort
Minuartia hybrida subsp. tenuifolia,(L.) Kerguélen,
Minuartia sedoides,(L.) Hiern,Cyphel 
Minuartia laricifolia,(L.) Schinz & Thell.,
Stellaria nemorum,L.,Wood Stitchwort
Stellaria nemorum subsp. nemorum,,
Stellaria nemorum subsp. montana,(Pierrat) Berher,
Stellaria media,(L.) Vill.,Common Chickweed
Stellaria pallida,(Dumort.) Crép.,Lesser Chickweed
Stellaria neglecta,Weihe,Greater Chickweed
Stellaria holostea,L.,Greater Stitchwort
Stellaria palustris,Ehrh. ex Hoffm.,Marsh Stitchwort
Stellaria graminea,L.,Lesser Stitchwort
Stellaria alsine,Grimm,Bog Stitchwort
Holosteum umbellatum,L.,Jagged Chickweed
Cerastium cerastoides,(L.) Britton,Starwort Mouse-ear
Cerastium arvense,L.,Field Mouse-ear
Cerastium arvense x tomentosum,,
Cerastium arvense x fontanum = C. x pseudoalpinum,Murr,
Cerastium tomentosum,L.,Snow-in-summer 
Cerastium alpinum,L.,Alpine Mouse-ear
Cerastium alpinum subsp. lanatum,(Lam.) Ces.,
Cerastium alpinum x nigrescens,,
Cerastium alpinum x fontanum = C. x symei,Druce,
Cerastium nigrescens,(H.C. Watson) Edmondston ex H.C. Watson,Arctic Mouse-ear
Cerastium nigrescens x fontanum = C. x richardsonii,Druce,
Cerastium fontanum,Baumg.,Common Mouse-ear
Cerastium fontanum subsp. vulgare,(Hartm.) Greuter & Burdet,
Cerastium fontanum subsp. holosteoides,"(Fr.) Salman, Ommering & de Voogd",
Cerastium fontanum subsp. scoticum,Jalas & P.D. Sell,
Cerastium glomeratum,Thuill.,Sticky Mouse-ear
Cerastium brachypetalum,Pers.,Grey Mouse-ear
Cerastium diffusum,Pers.,Sea Mouse-ear
Cerastium pumilum,Curtis,Dwarf Mouse-ear
Cerastium semidecandrum,L.,Little Mouse-ear
Cerastium dichotomum,L.,
Cerastium ligusticum,Viv.,
Cerastium scaranii,Ten.,Italian Mouse-ear
Myosoton aquaticum,(L.) Moench,Water Chickweed
Moenchia erecta,"(L.) P. Gaertn., B. Mey. & Scherb.",Upright Chickweed
Sagina nodosa,(L.) Fenzl,Knotted Pearlwort
Sagina nivalis,(Lindblom) Fr.,Snow Pearlwort
Sagina subulata,(Sw.) C. Presl,Heath Pearlwort
Sagina subulata x procumbens = S. x micrantha,Boreau ex E. Martin,
Sagina saginoides,(L.) H. Karst.,Alpine Pearlwort
Sagina saginoides x procumbens = S. x normaniana,Lagerh.,Scottish Pearlwort
Sagina procumbens,L.,Procumbent Pearlwort
Sagina apetala,Ard.,Annual Pearlwort
Sagina apetala subsp. apetala,,
Sagina apetala subsp. erecta,F. Herm.,
Sagina maritima,Don,Sea Pearlwort
Scleranthus perennis,L.,Perennial Knawel
Scleranthus perennis subsp. perennis,,
Scleranthus perennis subsp. prostratus,P.D. Sell,
Scleranthus annuus,L.,Annual Knawel
Scleranthus annuus subsp. annuus,,
Scleranthus annuus subsp. polycarpos,(L.) Bonnier & Layens,
Corrigiola litoralis,L.,Strapwort 
Corrigiola telephiifolia,Pourr.,
Herniaria glabra,L.,Smooth Rupturewort
Herniaria ciliolata,Melderis,Fringed Rupturewort
Herniaria ciliolata subsp. ciliolata,,
Herniaria ciliolata subsp. subciliata,(Bab.) Chaudhri,
Herniaria hirsuta,L.,Hairy Rupturewort
Illecebrum verticillatum,L.,Coral-necklace 
Polycarpon tetraphyllum,(L.) L.,Four-leaved Allseed
Spergula arvensis,L.,Corn Spurrey
Spergula morisonii,Boreau,Pearlwort Spurrey
Spergularia rupicola,Lebel ex Le Jol.,Rock Sea-spurrey
Spergularia rupicola x marina,,
Spergularia media,(L.) C. Presl,Greater Sea-spurrey
Spergularia marina,(L.) Griseb.,Lesser Sea-spurrey
Spergularia rubra,(L.) J. Presl & C. Presl,Sand Spurrey
Spergularia bocconei,(Scheele) Graebn.,Greek Sea-spurrey
Spergularia diandra,(Guss.) Boiss.,Lesser 
Spergularia nicaeensis,Sarato ex Burnat,
Spergularia purpurea,(Pers.) G. Don,
Lychnis coronaria,(L.) Murray,Rose Campion
Lychnis flos-cuculi,L.,Ragged-Robin 
Lychnis viscaria,L.,Sticky Catchfly
Lychnis alpina,L.,Alpine Catchfly
Lychnis chalcedonica,L.,Maltese-Cross 
Lychnis coronata x fulgens = L. x haageana,Lem.,
Lychnis flos-jovis,(L.) Desr.,Flower-of-Jove 
Lychnis fulgens,Fisch. ex Sims,
Agrostemma githago,L.,Corncockle 
Agrostemma gracilis,Boiss.,
Silene italica,(L.) Pers.,Italian Catchfly
Silene nutans,L.,Nottingham Catchfly
Silene otites,(L.) Wibel,Spanish Catchfly
Silene vulgaris,(Moench) Garcke,Bladder Campion
Silene vulgaris subsp. vulgaris,,
Silene vulgaris subsp. macrocarpa,Turrill,
Silene vulgaris subsp. angustifolia,(Mill.) Hayek,
Silene vulgaris subsp. commutata,(Guss.) Hayek,
Silene vulgaris x uniflora,,
Silene uniflora,Roth,Sea Campion
Silene acaulis,(L.) Jacq.,Moss Campion
Silene armeria,L.,Sweet-William Catchfly
Silene noctiflora,L.,Night-flowering Catchfly
Silene latifolia,Poir.,White Campion
Silene latifolia subsp. alba,(Mill.) Greuter & Burdet,
Silene latifolia subsp. latifolia,,
Silene latifolia x dioica = S. x hampeana,Meusel & K. Werner,
Silene dioica,(L.) Clairv.,Red Campion
Silene gallica,L.,Small-flowered Catchfly
Silene conica,L.,Sand Catchfly
Silene antirrhina,L.,Sleepy Catchfly
Silene apetala,Willd.,
Silene behen,L.,
Silene bellidifolia,C. Juss. ex Jacq.,
Silene catholica,(L.) W.T. Aiton,
Silene coeli-rosa,(L.) Godr.,Rose-of-heaven 
Silene conoidea,L.,
